"","Year","State","birthState","Count","Salary","HR"
"348",1991,"wisconsin","WI",7,3510000,6
"349",1991,"wyoming","WY",2,2635000,20
"350",1992,"alabama","AL",9,8124000,9
"351",1992,"alaska","AK",1,205000,0
"352",1992,"arizona","AZ",6,3290000,17
"353",1992,"arkansas","AR",4,3532167,15
"354",1992,"california","CA",217,190993022,755
"355",1992,"colorado","CO",1,3e+05,0
"356",1992,"connecticut","CT",7,2844166,19
"357",1992,"delaware","DE",2,752500,9
"358",1992,"district of columbia","DC",1,1616667,4
"359",1992,"florida","FL",55,48397417,255
"360",1992,"georgia","GA",22,18676168,99
"361",1992,"hawaii","HI",6,5636667,0
"362",1992,"illinois","IL",42,30994667,104
"363",1992,"indiana","IN",19,10502167,56
"364",1992,"iowa","IA",8,4671667,2
"365",1992,"kansas","KS",4,2831667,34
"366",1992,"kentucky","KY",9,7646500,55
"367",1992,"louisiana","LA",24,14723667,66
"368",1992,"maine","ME",3,2486667,7
"369",1992,"maryland","MD",15,9800333,63
"370",1992,"massachusetts","MA",19,11202168,49
"371",1992,"michigan","MI",27,21592833,30
"372",1992,"minnesota","MN",14,19387333,70
"373",1992,"mississippi","MS",8,2855000,32
"374",1992,"missouri","MO",16,13983167,19
"375",1992,"nebraska","NE",5,6566667,9
"376",1992,"nevada","NV",1,185000,0
"377",1992,"new hampshire","NH",4,1625000,8
"378",1992,"new jersey","NJ",18,7583295,40
"379",1992,"new mexico","NM",2,2425000,0
"380",1992,"new york","NY",56,49878667,189
"381",1992,"north carolina","NC",15,11513167,28
"382",1992,"ohio","OH",40,33770416,129
"383",1992,"oklahoma","OK",11,11295667,71
"384",1992,"oregon","OR",16,8481166,16
"385",1992,"pennsylvania","PA",32,23108000,92
"386",1992,"rhode island","RI",2,109000,0
"387",1992,"south carolina","SC",10,3936500,19
"388",1992,"south dakota","SD",1,225000,0
"389",1992,"tennessee","TN",10,8866000,15
"390",1992,"texas","TX",53,41264168,89
"391",1992,"utah","UT",2,3925000,0
"392",1992,"vermont","VT",1,1e+06,3
"393",1992,"virginia","VA",14,3456333,11
"394",1992,"washington","WA",8,5062500,42
"395",1992,"west virginia","WV",4,5450000,17
"396",1992,"wisconsin","WI",10,4645500,5
"397",1992,"wyoming","WY",2,4275000,24
"398",1993,"alabama","AL",12,14879000,32
"399",1993,"alaska","AK",1,1025000,0
"400",1993,"arizona","AZ",6,4459000,18
"401",1993,"arkansas","AR",4,3812667,14
"402",1993,"california","CA",224,192734166,926
"403",1993,"colorado","CO",4,434000,0
"404",1993,"connecticut","CT",7,4203167,41
"405",1993,"delaware","DE",4,2005500,2
"406",1993,"district of columbia","DC",2,1775000,5
"407",1993,"florida","FL",64,59353667,402
"408",1993,"georgia","GA",26,19781333,138
"409",1993,"hawaii","HI",5,5445000,1
"410",1993,"idaho","ID",1,1800000,0
"411",1993,"illinois","IL",55,31921334,150
"412",1993,"indiana","IN",19,11543000,42
"413",1993,"iowa","IA",10,6548667,1
"414",1993,"kansas","KS",5,3522167,36
"415",1993,"kentucky","KY",11,7654000,70
"416",1993,"louisiana","LA",20,22681667,79
"417",1993,"maine","ME",3,3711667,1
"418",1993,"maryland","MD",19,13733667,81
"419",1993,"massachusetts","MA",23,15316167,66
"420",1993,"michigan","MI",30,26009333,60
"421",1993,"minnesota","MN",12,22115500,89
"422",1993,"mississippi","MS",9,4461500,61
"423",1993,"missouri","MO",19,17755858,29
"424",1993,"montana","MT",2,109000,0
"425",1993,"nebraska","NE",5,5652500,7
